accepted_points,alpha_dm,alpha_hv,claim2_candidate,claim3_reading,delta2,dimension,fit_success,message,mu0_reference,mu_c,mu_c_exact,nu_target,point_key,stationary_minima_count,z,accepted_ordered_count,negative_domega_count,min_domega_vs_iso,refinement_used,final_classification,refined_mu_scales,refined_epsilon_grid,refined_stationary_minima_count,refined_negative_domega_count,D,d,theta,quantity,reliability_class,recommended_use
0,0.0,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758503,2.309401076758503,0.0,d4_d0.05_a0.0_nu0.0,0,1.0,24,0,0.0001085595091343,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.8,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.116601048851672,2.116601048851672,0.0,d4_d0.05_a0.8_nu0.0,0,1.0,24,0,9.647205327367736e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,1.2,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,1.8475208614068024,1.8475208614068024,0.0,d4_d0.05_a1.2_nu0.0,0,1.0,24,0,8.3571281992878e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.0,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758503,2.309401076758503,2.309401076758504,d4_d0.05_a0.0_nu1.0,0,1.0,24,0,9.263562807815262e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.8,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758503,2.309401076758503,2.309401076758504,d4_d0.05_a0.8_nu1.0,0,1.0,24,0,6.864038893317215e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,1.2,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758504,2.309401076758504,2.309401076758504,d4_d0.05_a1.2_nu1.0,0,1.0,24,0,4.664989992697599e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.0,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758503,2.309401076758503,3.4641016151377557,d4_d0.05_a0.0_nu1.5,0,1.0,24,0,7.276746646756038e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.8,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.411794379471233,2.411794379471233,3.4641016151377557,d4_d0.05_a0.8_nu1.5,0,1.0,24,0,4.185274418500029e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,1.2,0.5,False,no_stationary_ordered_branch,0.05,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.5734442713642043,2.5734442713642043,3.4641016151377557,d4_d0.05_a1.2_nu1.5,0,1.0,24,0,1.2791414152335534e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.0,0.5,False,no_stationary_ordered_branch,0.1,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758503,2.309401076758503,0.0,d4_d0.10_a0.0_nu0.0,0,1.0,23,0,0.0001500875846907,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.8,0.5,False,no_stationary_ordered_branch,0.1,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.116601048851672,2.116601048851672,0.0,d4_d0.10_a0.8_nu0.0,0,1.0,23,0,0.0001256204956803,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,1.2,0.5,False,no_stationary_ordered_branch,0.1,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,1.8475208614068024,1.8475208614068024,0.0,d4_d0.10_a1.2_nu0.0,0,1.0,24,0,9.95537906425259e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.0,0.5,False,no_stationary_ordered_branch,0.1,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758503,2.309401076758503,2.309401076758504,d4_d0.10_a0.0_nu1.0,0,1.0,22,0,0.0001167630896921,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.8,0.5,False,no_stationary_ordered_branch,0.1,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758503,2.309401076758503,2.309401076758504,d4_d0.10_a0.8_nu1.0,0,1.0,24,0,6.88132582840062e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,1.2,0.5,False,no_stationary_ordered_branch,0.1,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758504,2.309401076758504,2.309401076758504,d4_d0.10_a1.2_nu1.0,0,1.0,24,0,2.4948852928474707e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.0,0.5,False,no_stationary_ordered_branch,0.1,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.309401076758503,2.309401076758503,3.4641016151377557,d4_d0.10_a0.0_nu1.5,0,1.0,22,0,7.935566001648908e-06,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
0,0.8,0.5,False,no_stationary_ordered_branch,0.1,4,False,no ordered thermodynamic minimum detected on the scanned fixed-mu slices,2.309401076758504,2.411794379471233,2.411794379471233,3.4641016151377557,d4_d0.10_a0.8_nu1.5,0,1.0,23,0,1.384396672499122e-05,False,no_stationary_ordered_branch,,,,,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
4,1.2,0.5,False,no_stationary_ordered_branch,0.1,4,False,refined minima remain edge-only or fail the onset-intercept consistency check,2.309401076758504,2.5734442713642043,2.5734442713642043,3.4641016151377557,d4_d0.10_a1.2_nu1.5,1,1.0,22,4,-4.331541444191345e-05,True,outside_validity_domain,"[1.001, 1.002, 1.005, 1.01, 1.015, 1.02, 1.03, 1.04, 1.06, 1.08, 1.1]","[0.0, 0.002, 0.005, 0.01, 0.015, 0.02, 0.03, 0.04, 0.06, 0.09, 0.12, 0.16, 0.2]",11.0,77.0,4,2,0.5,renormalized_grand_potential_restricted_D4_summary,restricted_D4_analytic_island_candidate_not_full_D345_grid,appendix_or_scope_check_not_main_grid
